City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Skibbereen,IE,2021-12-08 20:28:37,51.55,-9.2667,39.0,66,60,16.53,broken clouds
60,Ambon,ID,2021-12-08 20:28:37,-3.6954,128.1814,75.34,100,40,3.44,scattered clouds
61,Askiz,RU,2021-12-08 20:28:37,53.1319,90.5264,6.76,87,24,5.21,few clouds
62,Hobart,AU,2021-12-08 20:23:38,-42.8794,147.3294,51.26,80,75,9.22,broken clouds
63,Florence,IT,2021-12-08 20:23:51,43.7667,11.25,49.64,97,75,1.14,mist
64,Bonavista,CA,2021-12-08 20:28:38,48.6499,-53.1147,33.12,53,100,16.53,overcast clouds
65,Inirida,CO,2021-12-08 20:25:02,3.8653,-67.9239,81.81,88,97,2.84,overcast clouds
66,Hasaki,JP,2021-12-08 20:28:38,35.7333,140.8333,46.8,75,100,32.53,light rain
67,Richards Bay,ZA,2021-12-08 20:28:38,-28.783,32.0377,71.69,93,96,4.05,light rain
68,Nikolskoye,RU,2021-12-08 20:28:39,59.7035,30.7861,10.29,100,97,2.68,overcast clouds
69,Kavaratti,IN,2021-12-08 20:28:39,10.5669,72.642,80.28,73,4,5.39,clear sky
70,Sao Filipe,CV,2021-12-08 20:28:39,14.8961,-24.4956,77.45,64,100,8.55,overcast clouds
71,Dikson,RU,2021-12-08 20:28:39,73.5069,80.5464,-1.48,93,100,23.78,overcast clouds
72,Honiara,SB,2021-12-08 20:28:40,-9.4333,159.95,78.8,91,100,3.06,moderate rain
73,Bagotville,AU,2021-12-08 20:28:40,-28.9833,153.4167,65.64,98,6,4.29,clear sky
74,Iquique,CL,2021-12-08 20:23:58,-20.2208,-70.1431,68.04,71,82,10.2,broken clouds
75,Mahebourg,MU,2021-12-08 20:28:41,-20.4081,57.7,77.25,78,20,3.44,few clouds
76,Ambatondrazaka,MG,2021-12-08 20:28:41,-17.8333,48.4167,62.98,92,6,2.57,clear sky
77,Vila,PT,2021-12-08 20:28:41,42.0304,-8.1588,40.33,94,100,8.25,light rain
78,Ngama,TD,2021-12-08 20:28:42,11.7833,17.1667,78.67,16,26,11.41,scattered clouds
79,Mar Del Plata,AR,2021-12-08 20:28:42,-38.0023,-57.5575,71.62,86,0,21.99,clear sky
80,Carlyle,US,2021-12-08 20:28:42,38.6103,-89.3726,48.52,43,0,1.01,clear sky
81,Adrar,MR,2021-12-08 20:28:43,20.5022,-10.0711,65.16,12,14,11.79,few clouds
82,Yellowknife,CA,2021-12-08 20:25:29,62.456,-114.3525,6.42,95,90,6.91,light snow
83,Atuona,PF,2021-12-08 20:28:43,-9.8,-139.0333,78.08,75,14,17.4,few clouds
84,Cayenne,GF,2021-12-08 20:28:44,4.9333,-52.3333,78.84,85,90,3.0,overcast clouds
85,Maunabo,PR,2021-12-08 20:24:23,18.0072,-65.8993,84.7,74,15,11.36,few clouds
86,Nouakchott,MR,2021-12-08 20:28:44,18.0858,-15.9785,78.73,26,55,10.89,broken clouds
87,Chuy,UY,2021-12-08 20:24:12,-33.6971,-53.4616,71.37,58,1,13.51,clear sky
88,Valparaiso,CL,2021-12-08 20:27:38,-33.0393,-71.6273,71.83,62,0,10.36,clear sky
89,Bethel,US,2021-12-08 20:28:45,41.3712,-73.414,38.48,71,90,3.44,overcast clouds
90,Cacador,BR,2021-12-08 20:28:45,-26.7753,-51.015,75.61,33,0,4.81,clear sky
91,Kerema,PG,2021-12-08 20:29:45,-7.9631,145.7785,77.86,86,99,6.71,overcast clouds
92,Faya,SA,2021-12-08 20:29:45,18.3851,42.4509,55.51,69,1,3.06,clear sky
93,Safranbolu,TR,2021-12-08 20:29:46,41.2508,32.6942,47.64,89,100,3.24,overcast clouds
94,Zajecar,RS,2021-12-08 20:29:46,43.9036,22.2641,29.57,89,18,5.73,few clouds
95,Terney,RU,2021-12-08 20:29:46,45.0503,136.6092,27.66,67,1,5.44,clear sky
96,Padampur,IN,2021-12-08 20:29:47,29.6833,73.6167,59.56,35,0,2.82,clear sky
97,Airai,TL,2021-12-08 20:29:47,-8.9266,125.4092,60.64,92,92,1.36,overcast clouds
98,San Buenaventura,MX,2021-12-08 20:29:47,27.0833,-101.5333,80.47,31,40,0.0,scattered clouds
99,Bobrov,RU,2021-12-08 20:29:48,51.0961,40.0333,38.44,93,100,5.73,overcast clouds
100,Jiexiu,CN,2021-12-08 20:29:48,37.0244,111.9125,36.34,66,4,7.02,clear sky
101,Vaini,TO,2021-12-08 20:29:48,-21.2,-175.2,80.76,78,20,9.22,few clouds
102,Asau,RO,2021-12-08 20:29:48,46.4333,26.4,31.95,78,100,1.97,overcast clouds
103,Mitsamiouli,KM,2021-12-08 20:29:49,-11.3847,43.2844,80.26,76,42,10.49,scattered clouds
104,Lata,PT,2021-12-08 20:29:49,40.1629,-8.3327,52.92,82,85,10.4,overcast clouds
105,Clyde River,CA,2021-12-08 20:29:49,70.4692,-68.5914,7.03,78,35,4.61,scattered clouds
106,Aberdeen,GB,2021-12-08 20:29:26,57.1437,-2.0981,42.21,95,75,8.05,broken clouds
107,Arkhangelsk,RU,2021-12-08 20:29:50,64.5401,40.5433,10.51,92,90,2.24,light snow
108,Requena,ES,2021-12-08 20:29:50,39.4883,-1.1004,45.14,62,69,27.58,broken clouds
109,Tucuman,AR,2021-12-08 20:29:50,-26.8241,-65.2226,86.0,54,75,5.75,broken clouds
110,Jinchang,CN,2021-12-08 20:29:51,38.4953,102.1739,30.43,34,4,2.17,clear sky
111,Souillac,MU,2021-12-08 20:29:51,-20.5167,57.5167,77.36,78,20,3.44,few clouds
112,Kaitangata,NZ,2021-12-08 20:29:51,-46.2817,169.8464,56.82,78,82,1.25,broken clouds
113,Mayumba,GA,2021-12-08 20:29:52,-3.432,10.6554,78.82,90,89,2.75,overcast clouds
114,Casa Nova,BR,2021-12-08 20:29:52,-9.4167,-41.1333,91.38,41,64,10.47,broken clouds
115,Huayang,CN,2021-12-08 20:29:52,34.4155,109.9939,31.06,60,0,2.68,clear sky
116,Kapaa,US,2021-12-08 20:29:53,22.0752,-159.319,82.38,77,75,3.0,light rain
117,Batagay-Alyta,RU,2021-12-08 20:29:53,67.8006,130.4114,-28.95,91,100,1.52,overcast clouds
118,Ninh Binh,VN,2021-12-08 20:29:53,20.2539,105.975,63.82,81,100,7.74,overcast clouds
119,Chokurdakh,RU,2021-12-08 20:29:54,70.6333,147.9167,-47.78,100,97,3.38,overcast clouds
120,Atar,MR,2021-12-08 20:29:54,20.5169,-13.0499,71.58,12,62,11.21,broken clouds
121,Aasiaat,GL,2021-12-08 20:29:54,68.7098,-52.8699,5.72,86,100,7.14,overcast clouds
122,Hambantota,LK,2021-12-08 20:29:55,6.1241,81.1185,77.2,87,99,10.51,overcast clouds
